origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-18T21:00:22.992626Z,64.050977,-21.380446,1.7312,0.38,0.115,true,0.115,0.032,0.068,-0.002,57,0.258,0.083,0.144,0.014,14,3,2.211,4.913,7.492,330,21,176,62,-0.0059,0.0047,0.0004,0.0014
2021-01-18T20:59:30.585239Z,64.050837,-21.380748,1.7521,0.68,0.069,true,0.067,0.042,0.091,-0.000,59,0.256,0.083,0.138,-0.004,15,1,2.226,4.877,6.606,330,2,266,15,0.0025,0.0037,-0.0005,0.0011
2021-01-18T06:36:06.251537Z,64.052425,-21.269773,4.4988,0.52,0.173,true,0.162,0.096,0.120,0.003,57,0.402,0.154,0.221,0.007,21,6,5.061,7.581,11.523,232,69,466,137,0.0002,0.0114,-0.0001,0.0013
2021-01-18T04:52:39.1974Z,64.051719,-21.405508,1.7938,0.41,0.127,true,0.125,0.007,-0.031,0.004,58,0.153,0.011,0.110,-0.014,14,4,2.159,4.631,5.943,344,26,282,75,0.0051,0.0100,0.0004,0.0029
2021-01-18T04:21:10.916882Z,64.051628,-21.405768,1.7698,0.17,0.203,true,0.187,0.084,-0.226,-0.005,59,0.156,0.010,0.086,0.045,11,6,2.138,4.884,6.791,322,44,144,76,0.0039,0.0050,-0.0003,0.0021
2021-01-18T04:07:42.20927Z,64.051842,-21.405257,1.7936,0.38,0.313,true,0.306,0.039,-0.168,0.011,58,0.168,0.032,0.098,0.035,17,6,2.157,4.866,11.051,325,34,264,49,0.0001,0.0071,0.0004,0.0020
2021-01-18T04:05:29.722816Z,64.052355,-21.404941,1.7711,-0.05,0.240,true,0.936,0.067,-0.098,0.007,69,0.155,0.031,0.100,-0.009,10,2,2.135,4.484,5.956,364,23,199,38,0.0005,0.0022,0.0001,0.0005
2021-01-18T03:12:37.847111Z,64.052065,-21.405690,1.7715,0.04,0.201,true,0.200,0.017,-0.012,-0.000,54,0.184,0.041,0.114,-0.024,10,3,2.140,4.757,5.911,258,16,171,61,-0.0000,0.0079,0.0000,0.0022
2021-01-18T03:06:37.628118Z,64.118551,-21.242751,4.3529,-0.05,0.085,true,0.083,0.252,0.299,-0.010,60,0.400,0.054,0.287,0.031,13,4,4.531,7.814,12.659,179,30,407,122,-0.0005,0.0087,0.0007,0.0006
2021-01-18T02:11:57.227953Z,64.051123,-21.392822,3.1162,-0.06,0.121,true,0.173,0.139,0.117,-0.003,64,0.218,0.063,0.117,0.003,14,3,3.449,5.470,7.618,339,7,328,46,-0.0005,0.0071,-0.0001,0.0007
